# distance R13
1.000 1.050 1.100 1.150 1.200 1.250 1.300 1.350 1.400 1.450 1.500 1.550 1.600 1.650 1.700 1.750 1.800 1.850 1.900 1.950 2.000 2.050 2.100 2.150 2.200 2.250 2.300 2.350 2.400 2.450 2.500 2.550 2.600 2.650 2.700 2.750 2.800 2.850 2.900 2.950 3.000 3.050 3.100 3.150 3.200 3.250 3.300 3.350 3.400 3.450 3.500 3.550 3.600 3.650 3.700 3.750 3.800 3.850 3.900 3.950 4.000 4.050 4.100 4.150 4.200 4.250 4.300 4.350 4.400 4.450 4.500 4.550 4.600 4.650 4.700 4.750 4.800 4.850 4.900 4.950 5.000 5.050 5.100 5.150 5.200 5.250 5.300 5.350 5.400 5.450 5.500 5.550 5.600 5.650 5.700 5.750 5.800 5.850 5.900 5.950 6.000 6.050 6.100 6.150 6.200 6.250 6.300 6.350 6.400 6.450 6.500 6.550 6.600 6.650 6.700 6.750 6.800 6.850 6.900 6.950 7.000 7.050 7.100 7.150 7.200 7.250 7.300 7.350 7.400 7.450 7.500 7.550 7.600 7.650 7.700 7.750 7.800 7.850 7.900 7.950 8.000
# GG.CC 1.95 7.10
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.002 0.005 0.010 0.020 0.034 0.053 0.074 0.091 0.101 0.102 0.095 0.086 0.078 0.074 0.073 0.074 0.076 0.079 0.086 0.094 0.103 0.111 0.117 0.122 0.128 0.135 0.146 0.158 0.170 0.179 0.184 0.186 0.186 0.186 0.188 0.192 0.198 0.205 0.215 0.227 0.240 0.254 0.269 0.283 0.296 0.307 0.317 0.324 0.330 0.333 0.334 0.334 0.332 0.332 0.332 0.333 0.334 0.335 0.336 0.336 0.334 0.331 0.328 0.323 0.319 0.314 0.310 0.305 0.302 0.299 0.298 0.299 0.302 0.306 0.311 0.316 0.321 0.324 0.325 0.322 0.317 0.307 0.293 0.275 0.253 0.228 0.202 0.176 0.150 0.126 0.104 0.085 0.068 0.053 0.041 0.031 0.023 0.016 0.011 0.007 0.004 0.003 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
# GG.EE 3.00 7.35
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.001 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.002 0.003 0.003 0.003 0.003 0.004 0.004 0.004 0.004 0.005 0.005 0.006 0.006 0.007 0.007 0.008 0.008 0.008 0.008 0.009 0.010 0.010 0.011 0.013 0.014 0.015 0.017 0.019 0.021 0.024 0.027 0.030 0.034 0.039 0.045 0.051 0.058 0.067 0.077 0.089 0.104 0.120 0.138 0.157 0.174 0.188 0.200 0.208 0.216 0.225 0.240 0.263 0.299 0.351 0.418 0.503 0.605 0.724 0.858 1.001 1.141 1.261 1.343 1.372 1.341 1.252 1.115 0.946 0.762 0.582 0.420 0.284 0.180 0.106 0.057 0.028 0.012 0.005 0.002 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
# GG.HH 1.95 5.85
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.001 0.002 0.003 0.006 0.012 0.022 0.038 0.058 0.080 0.100 0.116 0.129 0.142 0.159 0.191 0.262 0.419 0.723 1.196 1.764 2.233 2.397 2.185 1.714 1.191 0.771 0.502 0.356 0.288 0.259 0.245 0.235 0.221 0.203 0.182 0.164 0.148 0.136 0.126 0.117 0.108 0.099 0.089 0.078 0.067 0.058 0.049 0.042 0.036 0.031 0.027 0.024 0.021 0.018 0.016 0.014 0.012 0.011 0.010 0.009 0.008 0.008 0.008 0.007 0.007 0.006 0.006 0.005 0.005 0.004 0.004 0.003 0.003 0.003 0.002 0.002 0.002 0.001 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
# GG.HE 1.95 7.10
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.002 0.005 0.010 0.020 0.034 0.053 0.074 0.091 0.101 0.102 0.095 0.086 0.078 0.074 0.073 0.074 0.076 0.079 0.086 0.094 0.103 0.111 0.117 0.122 0.128 0.135 0.146 0.158 0.170 0.179 0.184 0.186 0.186 0.186 0.188 0.192 0.198 0.205 0.215 0.227 0.240 0.254 0.269 0.283 0.296 0.307 0.317 0.324 0.330 0.333 0.334 0.334 0.332 0.332 0.332 0.333 0.334 0.335 0.336 0.336 0.334 0.331 0.328 0.323 0.319 0.314 0.310 0.305 0.302 0.299 0.298 0.299 0.302 0.306 0.311 0.316 0.321 0.324 0.325 0.322 0.317 0.307 0.293 0.275 0.253 0.228 0.202 0.176 0.150 0.126 0.104 0.085 0.068 0.053 0.041 0.031 0.023 0.016 0.011 0.007 0.004 0.003 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
# GG.HC 1.65 6.60
